value_loss,time_elapsed,policy_entropy,n_updates,clipfrac,total_timesteps,fps,approxkl,serial_timesteps,policy_loss,explained_variance
0.012813663,27.89600419998169,0.6930964,106,0.0,13568,571,1.8453662e-08,13568,-8.535106e-06,0.7547593265771866
0.014740591,28.12075901031494,0.693097,107,0.0,13696,574,8.5618455e-09,13696,-8.728821e-06,0.7223232090473175
0.014742268,28.34446907043457,0.6930957,108,0.0,13824,573,6.7719292e-09,13824,-6.034039e-06,0.7376368045806885
0.014875665,28.568787097930908,0.6931002,109,0.0,13952,569,3.5729318e-08,13952,2.491055e-06,0.7369076311588287
0.014337301,28.79427194595337,0.69310415,110,0.0,14080,572,1.4857375e-07,14080,-0.00010361476,0.7071311771869659
0.015672974,29.018620252609253,0.69311786,111,0.0,14208,572,4.8516097e-07,14208,-0.00016855611,0.7165070474147797
0.0138939135,29.2429780960083,0.6931287,112,0.0,14336,572,2.9638383e-07,14336,-2.9574498e-05,0.7178649008274078
0.013513045,29.467540979385376,0.69313294,113,0.0,14464,571,9.089077e-09,14464,4.44788e-06,0.7406463623046875
0.012314528,29.69229793548584,0.69313234,114,0.0,14592,560,3.2155723e-09,14592,-3.2756943e-06,0.7597175985574722
0.01038738,29.92174005508423,0.69313383,115,0.0,14720,568,5.011109e-09,14720,-4.107249e-06,0.7583757787942886
0.013701474,30.14794921875,0.69313204,116,0.0,14848,572,3.629431e-08,14848,-2.5469228e-05,0.7617980539798737
0.0126988655,30.372430086135864,0.69312835,117,0.0,14976,570,1.14394595e-07,14976,-3.6774436e-05,0.7589374780654907
0.013543653,30.597641944885254,0.6931234,118,0.0,15104,567,3.680509e-08,15104,-6.188522e-06,0.7477933466434479
0.013291201,30.82417893409729,0.6931223,119,0.0,15232,573,1.0086778e-08,15232,-2.2875494e-05,0.7545252740383148
0.011723998,31.048173189163208,0.6931193,120,0.0,15360,561,5.2930933e-08,15360,-4.073407e-05,0.7788236737251282
0.007683766,31.277118921279907,0.69311255,121,0.0,15488,575,2.0175099e-07,15488,-7.025851e-05,0.8015483468770981
0.0078018783,31.50028896331787,0.6931039,122,0.0,15616,571,5.9236857e-08,15616,7.166527e-06,0.7930002808570862
0.012085632,31.725284099578857,0.6931024,123,0.0,15744,574,2.9778642e-09,15744,-4.0011946e-06,0.7402080297470093
0.009624634,31.949137210845947,0.6931007,124,0.0,15872,564,1.7148693e-08,15872,-9.716721e-06,0.7737914472818375
0.011639242,32.17738223075867,0.6930979,125,0.0,16000,574,3.6378594e-08,16000,-3.1172764e-05,0.7367193102836609
0.010642574,32.40114402770996,0.69308555,126,0.0,16128,566,2.8577807e-07,16128,-0.00013268669,0.7594276368618011
0.011052404,32.62807822227478,0.69307464,127,0.0,16256,563,1.25916e-07,16256,-2.0962441e-05,0.7570673227310181
0.011881915,32.856184005737305,0.6930688,128,0.0,16384,564,1.7323753e-08,16384,-4.9452065e-06,0.7764098197221756
0.010556115,33.08403420448303,0.69307995,129,0.0,16512,567,3.5499767e-07,16512,-0.00012166519,0.7956433743238449
0.008757022,33.31056213378906,0.69309396,130,0.0,16640,572,2.663536e-07,16640,-4.3880078e-05,0.8067857921123505
0.011394633,33.53521108627319,0.6931055,131,0.0,16768,566,5.946223e-08,16768,-1.0290998e-05,0.7884769141674042
0.011580823,33.76213622093201,0.69310915,132,0.0,16896,559,9.863776e-09,16896,-4.8424117e-06,0.7859725505113602
0.012015451,33.99174499511719,0.69310886,133,0.0,17024,569,3.1647949e-09,17024,-4.2445026e-07,0.7872292399406433
0.010859156,34.217390060424805,0.6931115,134,0.0,17152,571,1.2090115e-07,17152,-6.0911174e-05,0.7961977869272232
0.01163598,34.44213104248047,0.6931205,135,0.0,17280,572,1.2955242e-07,17280,-1.1408702e-06,0.7908047586679459
0.0096407365,34.66683006286621,0.693123,136,0.0,17408,570,3.9970644e-08,17408,-1.11118425e-05,0.8084511756896973
0.009135683,34.892258167266846,0.6931251,137,0.0,17536,571,5.1032307e-09,17536,-2.4116598e-06,0.8127879947423935
0.011572076,35.117146253585815,0.6931247,138,0.0,17664,574,2.6064608e-08,17664,-2.297631e-05,0.7929964959621429
0.011247446,35.34069514274597,0.69313014,139,0.0,17792,574,1.056504e-07,17792,-1.7695711e-05,0.7952473014593124
0.010315793,35.56462621688843,0.69313353,140,0.0,17920,566,6.3180847e-09,17920,5.7721045e-06,0.7957039922475815
0.011135476,35.79149007797241,0.6931318,141,0.0,18048,571,1.4231669e-08,18048,-4.085712e-06,0.7968609929084778
0.010581983,36.01642608642578,0.69313276,142,0.0,18176,530,9.6922285e-08,18176,-4.9393624e-05,0.7978547364473343
0.009653874,36.25855803489685,0.69313604,143,0.0,18304,572,2.979541e-08,18304,2.3316126e-05,0.8252292722463608
0.0066009196,36.483097076416016,0.6931337,144,0.0,18432,515,1.33805145e-08,18432,-1.0966323e-06,0.842687338590622
0.010838862,36.73285913467407,0.69313544,145,0.0,18560,531,1.6584747e-07,18560,-8.559809e-05,0.7963331341743469
0.01016687,36.9746880531311,0.6931417,146,0.0,18688,556,1.014708e-07,18688,1.4968915e-05,0.8083878308534622
0.009545396,37.20576310157776,0.69314194,147,0.0,18816,573,3.59759e-08,18816,-7.0247333e-06,0.8184940665960312
0.008047572,37.429908990859985,0.6931381,148,0.0,18944,570,3.361789e-07,18944,-0.00014625787,0.8319670408964157
0.010316627,37.65556025505066,0.6931327,149,0.0,19072,569,9.6209035e-08,19072,4.6293484e-05,0.8059832155704498
0.0096197715,37.88106322288513,0.69313186,150,0.0,19200,572,2.0952191e-08,19200,-1.0622665e-05,0.8266465812921524
0.007338814,38.105693340301514,0.6931276,151,0.0,19328,572,1.10438066e-07,19328,7.252209e-06,0.8588465452194214
0.0100904675,38.3302059173584,0.69312763,152,0.0,19456,572,6.73946e-08,19456,-3.087765e-05,0.8089453428983688
0.008137406,38.55459213256836,0.693131,153,0.0,19584,571,7.903873e-09,19584,9.6696895e-06,0.8531846106052399
0.008886263,38.77973413467407,0.6931274,154,0.0,19712,573,9.8760474e-08,19712,-3.0298019e-05,0.8415804952383041
0.009332943,39.003682136535645,0.69312346,155,0.0,19840,567,4.59e-08,19840,-2.4990877e-06,0.8288704752922058
0.009221901,39.22999405860901,0.6931208,156,0.0,19968,574,2.3337826e-08,19968,-6.217393e-06,0.8272743970155716
0.009024301,39.45368409156799,0.6931179,157,0.0,20096,571,1.630341e-08,20096,4.2431056e-06,0.8378931432962418
0.0093788,39.67869997024536,0.6931151,158,0.0,20224,562,2.2041807e-08,20224,-9.891577e-06,0.8371587544679642
0.008889316,39.90723991394043,0.6931121,159,0.0,20352,569,1.2660327e-08,20352,-3.8694125e-06,0.8439465910196304
0.007963277,40.1327862739563,0.69311696,160,0.0,20480,574,2.4346724e-07,20480,-0.00012531783,0.8472388833761215
0.008265727,40.35649299621582,0.69312656,161,0.0,20608,573,1.89453e-07,20608,2.395676e-05,0.8524158895015717
0.008187138,40.580543994903564,0.6931301,162,0.0,20736,570,4.546907e-09,20736,-1.922017e-07,0.836294025182724
0.00608407,40.80598497390747,0.6931321,163,0.0,20864,573,1.03827205e-07,20864,-6.251922e-05,0.8545295298099518
0.008163669,41.03025817871094,0.6931361,164,0.0,20992,550,1.1901835e-07,20992,-9.004609e-06,0.8169668018817902
0.00786792,41.26394701004028,0.69313914,165,0.0,21120,572,7.1850536e-08,21120,-2.1321233e-05,0.8393734097480774
0.0073181796,41.48838400840759,0.6931408,166,0.0,21248,551,1.3666131e-08,21248,3.465102e-07,0.8426389247179031
0.007517439,41.72361922264099,0.69314176,167,0.0,21376,568,2.6657336e-08,21376,-1.7321552e-05,0.8293092101812363
0.007222902,41.94984292984009,0.69314116,168,0.0,21504,568,1.6386611e-08,21504,-1.6799779e-05,0.8548047989606857
0.008072534,42.1760630607605,0.69314194,169,0.0,21632,573,6.2789205e-08,21632,-1.30963745e-05,0.8395092189311981
0.0077159116,42.400151014328,0.6931429,170,0.0,21760,568,1.8502229e-07,21760,-4.9337978e-05,0.8651137501001358
0.0063925222,42.62634015083313,0.69314337,171,0.0,21888,569,7.4207804e-08,21888,4.247995e-07,0.8785893768072128
0.009198798,42.85216307640076,0.69314486,172,0.0,22016,574,1.06406326e-07,22016,-6.111071e-05,0.7912016808986664
0.0060858657,43.075721979141235,0.6931448,173,0.0,22144,567,1.025237e-07,22144,5.76186e-06,0.861207515001297
0.0072423783,43.302247285842896,0.6931442,174,0.0,22272,575,7.514937e-08,22272,-4.5229797e-05,0.843164324760437
0.0075898576,43.52571511268616,0.6931416,175,0.0,22400,572,2.2785002e-07,22400,-0.00014614197,0.8643255978822708
0.006807587,43.750399112701416,0.6931384,176,0.0,22528,573,1.8455107e-07,22528,-2.1238695e-05,0.879264660179615
0.007704393,43.9743390083313,0.6931358,177,0.0,22656,571,7.7742754e-09,22656,-5.3961994e-06,0.8628680855035782
0.0071239513,44.19926905632019,0.6931378,178,0.0,22784,575,6.5281554e-08,22784,-3.629888e-05,0.8781835064291954
0.0070859436,44.42263722419739,0.6931381,179,0.0,22912,570,3.39615e-09,22912,4.238216e-06,0.866671696305275
0.007161089,44.64805722236633,0.69313717,180,0.0,23040,574,9.831013e-09,23040,-4.3968903e-06,0.869532123208046
0.0055746743,44.87179899215698,0.6931372,181,0.0,23168,573,3.5695644e-09,23168,8.926727e-07,0.8854324892163277
0.006367322,45.09575915336609,0.6931366,182,0.0,23296,570,6.7958403e-09,23296,-1.1561555e-05,0.8806534707546234
0.0065848534,45.320969104766846,0.69313586,183,0.0,23424,574,4.904914e-08,23424,-4.1061314e-05,0.8724284768104553
0.006839396,45.544875144958496,0.69313264,184,0.0,23552,569,7.9480195e-08,23552,5.4447446e-06,0.8771180510520935
0.006895247,45.77054691314697,0.69313145,185,0.0,23680,575,4.385745e-09,23680,-1.0789838e-05,0.8736361712217331
0.0072216177,45.993932008743286,0.6931327,186,0.0,23808,567,2.6372529e-08,23808,-2.4143257e-05,0.8737822473049164
