policy_loss,explained_variance,fps,total_timesteps,n_updates,policy_entropy,time_elapsed,approxkl,value_loss,clipfrac,serial_timesteps
-5.045964e-05,0.36943089962005615,555,11008,86,0.6928376,20.937260150909424,1.7736163e-07,0.020783497,0.0,11008
-8.3051855e-06,0.34387528896331787,574,11136,87,0.69287455,21.16850781440735,1.3454942e-08,0.040874895,0.0,11136
-4.656252e-05,0.3964616060256958,554,11264,88,0.6928753,21.392147064208984,1.4217457e-07,0.03474011,0.0,11264
1.2837118e-06,0.35027647018432617,573,11392,89,0.6928843,21.62379503250122,2.3712328e-08,0.027663585,0.0,11392
-1.747976e-05,0.33975452184677124,540,11520,90,0.69290614,21.8477840423584,3.152482e-08,0.040618137,0.0,11520
-5.2448595e-06,0.369861364364624,569,11648,91,0.692909,22.085518836975098,3.4037157e-08,0.02685603,0.0,11648
-2.3510423e-05,0.3654986023902893,546,11776,92,0.69290876,22.311553716659546,3.894937e-08,0.033454787,0.0,11776
4.377973e-06,0.3400444984436035,570,11904,93,0.6928997,22.546830892562866,3.204737e-08,0.03841817,0.0,11904
-4.0099374e-05,0.36387908458709717,556,12032,94,0.69293195,22.772175788879395,7.1819535e-08,0.03173182,0.0,12032
1.5547499e-05,0.38226449489593506,568,12160,95,0.6929379,23.00330400466919,1.0178809e-08,0.030987779,0.0,12160
-1.4358899e-05,0.3551444411277771,565,12288,96,0.69290614,23.229358911514282,8.103338e-08,0.027486907,0.0,12288
-1.1760276e-06,0.4315139055252075,543,12416,97,0.69285995,23.45659589767456,5.95267e-09,0.017545983,0.0,12416
5.356851e-06,0.3741987943649292,560,12544,98,0.6929027,23.693094968795776,4.1930637e-09,0.029283315,0.0,12544
1.6906997e-06,0.34275519847869873,558,12672,99,0.6929028,23.92275094985962,1.3772301e-08,0.03904204,0.0,12672
-1.6881153e-05,0.4055664539337158,573,12800,100,0.69292974,24.152925968170166,2.7332728e-08,0.036127582,0.0,12800
7.3846895e-06,0.4255332350730896,559,12928,101,0.6928889,24.3772029876709,8.839086e-09,0.019657621,0.0,12928
-5.182193e-05,0.4541437029838562,572,13056,102,0.6928642,24.60674285888672,9.562342e-08,0.025326163,0.0,13056
-8.614041e-05,0.46898114681243896,559,13184,103,0.6928765,24.831412076950073,2.423903e-07,0.019037405,0.0,13184
1.2235483e-05,0.4003610610961914,570,13312,104,0.6928771,25.061291933059692,5.169084e-08,0.02552167,0.0,13312
-1.6708742e-05,0.42809104919433594,560,13440,105,0.6928361,25.2864830493927,5.4636626e-08,0.015022432,0.0,13440
-4.2170635e-05,0.417121946811676,573,13568,106,0.69290614,25.515615940093994,1.07937765e-07,0.034329798,0.0,13568
8.693663e-06,0.539372593164444,564,13696,107,0.69288516,25.73992609977722,3.6651166e-08,0.014562029,0.0,13696
-2.7406379e-05,0.41665124893188477,566,13824,108,0.69292074,25.96770691871643,7.529934e-08,0.029078083,0.0,13824
-2.2773165e-05,0.4422202706336975,574,13952,109,0.6928826,26.194455862045288,1.00107954e-07,0.021374583,0.0,13952
-4.3829205e-06,0.41558194160461426,558,14080,110,0.6928409,26.41820979118347,1.1443866e-08,0.024479859,0.0,14080
-3.6341953e-05,0.4663483500480652,541,14208,111,0.6928146,26.648314952850342,7.421663e-08,0.01198175,0.0,14208
-3.8946746e-06,0.43546462059020996,558,14336,112,0.6928831,26.88599395751953,8.8989374e-08,0.025003575,0.0,14336
-3.051653e-05,0.40977901220321655,573,14464,113,0.69277203,27.11620783805847,8.813808e-08,0.016058605,0.0,14464
-0.00011369621,0.4868428111076355,553,14592,114,0.69276273,27.340197801589966,3.465015e-07,0.017741868,0.0,14592
-2.9148185e-05,0.4546911120414734,557,14720,115,0.69276327,27.572322845458984,2.7631194e-07,0.018290605,0.0,14720
-7.3319534e-06,0.4305066466331482,551,14848,116,0.6927729,27.80286693572998,3.763897e-08,0.03094719,0.0,14848
-4.4719374e-05,0.4501737952232361,572,14976,117,0.6926986,28.036032915115356,1.00014404e-07,0.026282176,0.0,14976
-4.156935e-05,0.4669138789176941,562,15104,118,0.6926918,28.26073980331421,2.0176323e-07,0.018211143,0.0,15104
-1.095701e-06,0.3959607481956482,573,15232,119,0.69267094,28.489227771759033,1.4421013e-08,0.022940483,0.0,15232
-1.3859826e-05,0.4563716650009155,567,15360,120,0.69270325,28.713342905044556,4.1723816e-08,0.02941097,0.0,15360
-2.1094922e-05,0.46151238679885864,529,15488,121,0.6926405,28.939642906188965,1.266761e-07,0.025107061,0.0,15488
-1.8420862e-05,0.4643101096153259,574,15616,122,0.6926812,29.182233810424805,6.010168e-08,0.028808013,0.0,15616
-2.3201632e-05,0.4870254397392273,558,15744,123,0.6927239,29.405849933624268,1.14386566e-07,0.019977314,0.0,15744
-1.7880462e-05,0.49706441164016724,567,15872,124,0.692765,29.635950803756714,7.2998986e-08,0.020292576,0.0,15872
-3.718096e-05,0.5088450014591217,552,16000,125,0.692781,29.862613916397095,1.5209397e-07,0.027359128,0.0,16000
-1.9817846e-05,0.5155342817306519,573,16128,126,0.6928145,30.095179796218872,1.4272e-07,0.02858853,0.0,16128
-1.743203e-06,0.5272391438484192,559,16256,127,0.6928426,30.31922698020935,1.3176704e-08,0.027735794,0.0,16256
-3.1924923e-05,0.5186492204666138,573,16384,128,0.6927952,30.548809051513672,8.676317e-08,0.019742297,0.0,16384
-1.3945159e-05,0.5261473953723907,555,16512,129,0.69277143,30.772976875305176,6.696476e-08,0.02440707,0.0,16512
-6.0303137e-07,0.5618797838687897,571,16640,130,0.69272536,31.004329919815063,1.8360044e-08,0.015155235,0.0,16640
-4.0093437e-07,0.5347425639629364,562,16768,131,0.69278103,31.22926378250122,7.637092e-09,0.027718263,0.0,16768
5.523907e-07,0.566256195306778,570,16896,132,0.69275326,31.45759391784668,1.790077e-09,0.013277325,0.0,16896
5.34812e-07,0.5502586662769318,566,17024,133,0.6927697,31.682694911956787,9.064058e-10,0.022948911,0.0,17024
-1.2438977e-05,0.5450266599655151,558,17152,134,0.69281083,31.909505128860474,2.7121493e-08,0.028459461,0.0,17152
-6.6339504e-05,0.6704326272010803,572,17280,135,0.6927471,32.1399507522583,9.885517e-08,0.0097865565,0.0,17280
-6.455975e-05,0.5191861391067505,543,17408,136,0.69269156,32.364311933517456,3.4231607e-07,0.018419687,0.0,17408
