approxkl,value_loss,clipfrac,explained_variance,n_updates,time_elapsed,policy_loss,fps,serial_timesteps,policy_entropy,total_timesteps
nan,nan,0.0,nan,149,50.79647517204285,nan,378,19072,nan,19072
nan,nan,0.0,nan,150,51.135451316833496,nan,478,19200,nan,19200
nan,nan,0.0,nan,151,51.40401220321655,nan,478,19328,nan,19328
nan,nan,0.0,nan,152,51.6727020740509,nan,425,19456,nan,19456
nan,nan,0.0,nan,153,51.97447204589844,nan,379,19584,nan,19584
nan,nan,0.0,nan,154,52.313409090042114,nan,458,19712,nan,19712
nan,nan,0.0,nan,155,52.593321084976196,nan,448,19840,nan,19840
nan,nan,0.0,nan,156,52.88025403022766,nan,440,19968,nan,19968
nan,nan,0.0,nan,157,53.17213010787964,nan,364,20096,nan,20096
nan,nan,0.0,nan,158,53.52499008178711,nan,466,20224,nan,20224
nan,nan,0.0,nan,159,53.80086421966553,nan,429,20352,nan,20352
nan,nan,0.0,nan,160,54.10071396827698,nan,457,20480,nan,20480
nan,nan,0.0,nan,161,54.38176703453064,nan,370,20608,nan,20608
nan,nan,0.0,nan,162,54.72836112976074,nan,427,20736,nan,20736
nan,nan,0.0,nan,163,55.02855706214905,nan,458,20864,nan,20864
nan,nan,0.0,nan,164,55.30862212181091,nan,437,20992,nan,20992
nan,nan,0.0,nan,165,55.60240411758423,nan,187,21120,nan,21120
nan,nan,0.0,nan,166,56.285404920578,nan,222,21248,nan,21248
nan,nan,0.0,nan,167,56.865156173706055,nan,360,21376,nan,21376
nan,nan,0.0,nan,168,57.22118520736694,nan,420,21504,nan,21504
nan,nan,0.0,nan,169,57.52706789970398,nan,393,21632,nan,21632
nan,nan,0.0,nan,170,57.853198289871216,nan,358,21760,nan,21760
nan,nan,0.0,nan,171,58.21196508407593,nan,430,21888,nan,21888
nan,nan,0.0,nan,172,58.51072812080383,nan,417,22016,nan,22016
nan,nan,0.0,nan,173,58.81831192970276,nan,426,22144,nan,22144
nan,nan,0.0,nan,174,59.12005615234375,nan,423,22272,nan,22272
nan,nan,0.0,nan,175,59.42347502708435,nan,456,22400,nan,22400
nan,nan,0.0,nan,176,59.70547890663147,nan,449,22528,nan,22528
nan,nan,0.0,nan,177,59.99118423461914,nan,439,22656,nan,22656
nan,nan,0.0,nan,178,60.283387899398804,nan,451,22784,nan,22784
nan,nan,0.0,nan,179,60.570380210876465,nan,138,22912,nan,22912
nan,nan,0.0,nan,180,61.49378418922424,nan,137,23040,nan,23040
nan,nan,0.0,nan,181,62.42689108848572,nan,321,23168,nan,23168
nan,nan,0.0,nan,182,62.82680916786194,nan,316,23296,nan,23296
nan,nan,0.0,nan,183,63.23324799537659,nan,360,23424,nan,23424
nan,nan,0.0,nan,184,63.589597940444946,nan,369,23552,nan,23552
nan,nan,0.0,nan,185,63.93764114379883,nan,388,23680,nan,23680
nan,nan,0.0,nan,186,64.26878428459167,nan,416,23808,nan,23808
